# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 315, mean track length: 2
96 0.17475058865543375 5.0620068197476682 30.978586111018661 213 198 85 0.40935487707404916 31 124 30 204
97 -1.6341974527571703 5.0366962024998543 31.419099259325829 71 32 21 0.11681583481235042 31 114 30 205
98 -1.8000255966906724 5.3573613741570059 31.03284711666857 114 112 34 0.058284662568139217 31 192 30 208
99 -1.5665207781703732 5.3452172480446993 31.020653302956593 119 133 86 0.15862949978245316 31 130 30 209
100 0.098614494788198462 5.4004186610833091 29.906360714511841 96 71 46 0.052222751387936125 31 189 30 210
101 -1.7768212635590739 5.5518668747282005 30.998154504950591 101 117 77 0.73331947524500174 31 214 30 214
102 0.51634579374240075 5.4653188597671676 29.445866360483439 229 217 117 0.054138283191455278 31 132 30 215
103 -1.7851602182098429 5.7131685340489131 30.734226837543293 30 11 5 0.18211769402967043 31 171 30 221
104 -1.6482526073745065 5.7768238757645261 30.508363677658398 108 110 41 0.079661944518494621 31 155 30 222
105 -1.2922644877830083 5.8304675999190234 30.318162778972439 94 31 19 0.14471241587391478 31 186 30 223
106 1.4085157248893774 5.799261495068758 28.329169367162969 20 9 3 0.089475174554388803 31 161 30 224
107 -0.54678631148725831 5.8419051359394185 29.980999139960563 148 59 12 0.38157812508835454 31 173 30 225
108 -0.54406334013210078 7.0463354219697791 28.015358510254327 115 75 74 0.011659080260091373 31 280 30 229
109 -1.2006446034701854 7.1684101836362677 28.41160569218415 194 164 66 0.158709821312366 31 162 30 230
110 -0.7730942547579156 7.0592627289215946 28.138885916520966 207 153 109 0.13329492036408225 31 148 30 232
111 1.1576890863865683 5.9739357448208343 28.019353096656292 103 115 71 0.35793019023596628 31 194 30 233
112 -1.1412015045840092 6.346399256623358 29.481973560571408 77 36 32 0.064745833218379345 31 197 30 238
113 0.46989803551158055 4.2290335892819479 31.145341879198437 222 202 105 0.039200076756815409 31 242 30 243
114 -0.60047229187482731 4.4223628740699787 31.856862305410598 120 71 41 0.23743247785743821 31 248 30 245
115 0.32662404218600782 4.7650402516337786 30.519377569364032 106 55 32 0.29323569840985275 31 231 30 247
116 -1.1214781854337503 4.8306931365256114 31.565234239830957 166 83 21 0.62329813195570294 31 172 30 248
117 -1.7944108318821159 4.982943430312889 31.491307122626203 197 191 119 0.057050437310609617 31 216 30 251
118 -0.16347758570071591 4.9984989926435119 30.67796290508646 134 74 31 0.15191342044868025 31 177 30 254
119 -0.26666107250920146 5.07463232500562 30.536615364578882 162 74 30 0.048822456987654653 31 185 30 256
120 1.0172244383139062 5.2785067921744186 29.388100308902832 84 21 6 0.024059049032818566 31 271 30 258
121 0.36206935850254385 5.2954264888093734 29.827691074581782 234 230 186 0.082575643367129969 31 184 30 259
122 3.399926889291454 5.5640632075208174 29.749306066863809 75 76 76 0.47821979965157957 31 253 30 260
123 3.7503463530509173 5.6502155910860763 29.344845118085036 44 15 22 1.2797456335102497 31 97 30 262
124 3.2455620101078466 5.6369538604428024 29.795888986022703 52 25 31 0.71153479774197759 31 175 30 265
125 2.9820184421876368 5.7312250843738992 29.805065789586653 27 2 1 0.22552475896930557 31 181 30 267
126 0.97598110446507769 5.6222022112962406 28.855639231872487 215 201 86 0.12275469127806415 31 229 30 268
127 1.6442496215134625 5.7209194538064443 28.106903998199847 129 54 17 0.0054640058140758251 31 306 30 269
128 1.5633255159319301 5.8011170349392227 28.072499201763023 228 206 97 0.068738334699583611 31 301 30 271
129 -1.9275874349056374 5.8881059746702862 30.331182719659569 213 176 68 0.55729098250243303 31 295 30 272
130 -2.2843015499753627 5.9189107407183634 30.765405506306365 237 208 86 0.48602056638680952 31 389 30 273
131 0.33722539344942831 5.9427722492177084 28.807272908830726 155 92 63 0.042351958167858895 31 297 30 276
132 1.5904491064632493 6.0172717758746161 27.897652590664187 69 22 9 0.13691591175569037 31 298 30 278
133 2.78303148282333 6.0522113876989874 29.469224793180079 10 5 8 0.31294077801675013 31 187 30 280
134 -1.7020085053556717 5.8880320071647052 30.430686030972275 20 9 6 0.13403712982867411 31 296 30 281
135 -1.7944108318821159 4.982943430312889 31.491307122626203 197 191 119 0.057050437310609617 31 182 30 282
136 -1.4560700175845716 6.8120851254279957 28.878333752585338 219 187 81 0.22960856602042706 31 281 30 290
137 0.0042068257828302208 5.2568361635586616 30.040934960181424 126 92 57 0.86488066521077234 31 278 30 293
138 0.47050056388854239 6.3653579129699658 28.130851441970833 227 208 89 0.42307471724788426 31 196 30 296
139 0.7242287776175349 6.1783540512330815 28.19585185858714 34 15 9 0.057769788873079583 31 291 30 299
140 -1.8047717734088045 6.0766158762992868 30.013339687437675 214 190 96 0.43653101869617084 31 289 30 302
141 -1.1034829778912916 6.5361546851084542 29.138680472676157 95 54 36 0.16407435875964665 31 285 30 303
142 -1.1034829778912916 6.5361546851084542 29.138680472676157 95 54 36 0.16407435875964665 31 241 30 304
143 0.7242287776175349 6.1783540512330815 28.19585185858714 34 15 9 0.057769788873079583 31 267 30 307
144 2.9820184421876368 5.7312250843738992 29.805065789586653 27 2 1 0.22552475896930557 31 224 30 309
145 -2.349344977631532 5.0201560818656166 31.785284006139523 215 181 77 0.21535526100942215 31 363 30 317
146 0.17704754374157117 3.9374091166627099 31.984178165624471 232 217 141 0.52263384622305531 31 190 30 324
147 5.390333732596627 4.4006885074110951 30.402170420233983 0 0 0 0.52348970012668106 31 234 30 333
148 0.16493365795591913 4.4663599580548388 31.003593157430913 84 37 23 0.10574820262480182 31 250 30 339
149 -0.68711241140760337 4.5873786642768968 31.418757770883392 227 203 106 0.14564773870349607 31 348 30 342
150 -1.221154998087965 4.8980818133295996 31.541215703421422 132 78 38 0.47094707218270698 31 256 30 353
151 2.1466095679386425 4.8471042480255466 30.956681048528829 84 35 10 0.73876211716080276 31 249 30 354
152 -1.9094301477455078 5.0224892040742937 31.555392422048243 85 48 42 0.067770949085618787 31 273 30 358
153 -1.2356241755873285 5.0427591480452003 31.327312661396501 105 103 73 0.35702206164645339 31 275 30 361
154 0.32210472918361149 5.1247663746597585 30.084889125790045 162 72 33 0.13409055438415995 31 452 30 363
155 0.65824718269155869 5.1740352692896447 29.732492483530926 114 66 51 0.3316764809112745 31 264 30 365
156 0.50760237498383032 5.23672003897771 29.739767118170924 114 88 44 0.0078861773003339863 31 232 30 368
157 -0.14654435173994876 5.2712524597872763 30.180344724333199 164 92 53 0.033704990372515495 31 369 30 369
158 0.81626460650413935 5.2478597227199062 29.534923038078421 208 190 72 0.017652877806617444 31 366 30 370
159 -0.90187230630330661 5.4723247872506393 30.597677865566766 129 71 29 0.11028201599893767 31 376 30 374
160 1.1632960313384011 5.4671062622342799 29.105930400570205 60 14 5 0.088871804199699866 31 597 30 377
161 1.2962252612463987 5.6501181769100697 28.596244653796958 77 22 9 0.026310653797523929 31 230 30 385
162 2.8859821500164542 5.7984961974460258 29.726055371637003 60 60 62 0.031236359443394215 31 362 30 386
163 5.1855799844433559 6.097633808020813 27.895606325832851 96 95 90 0.10521582691049902 31 451 30 389
164 2.0049740666746811 5.8107635479882118 27.810388811951093 81 41 14 0.13090157458977253 31 303 30 390
165 2.9283172085300775 5.9716072475253243 29.520837389755687 59 56 57 0.06975616421156805 31 368 30 391
166 -1.4666930837547876 5.9319277878656651 30.218759701984919 64 37 40 0.11963129137708428 31 388 30 394
167 1.8558028185771411 5.9921078633567424 27.572677380078201 188 140 44 0.20111485430913406 31 386 30 397
168 0.28905281542027572 6.0265578141166118 28.796530387090129 225 199 95 0.24592086289334758 31 530 30 398
169 -1.7493563881401515 6.195216690450513 29.810051896218379 216 199 115 0.57677134106986117 31 402 30 404
170 0.53540216411948693 6.1541104470002557 28.44363411466701 142 110 70 0.38335922529261379 31 756 30 405
171 -1.8685284966660147 6.206594173221804 29.895197874445405 232 213 123 0.27362724540330352 31 535 30 406
172 1.1375659128185789 6.2348025362093447 27.678213789751162 147 59 41 0.29238365897363927 31 394 30 407
173 0.87163619701727491 6.2697217076335603 27.995088864136214 226 133 63 0.028260518266797714 31 529 30 408
174 -1.6286566803334548 6.4030150724030515 29.469815283205218 207 196 124 0.44864233260227659 31 310 30 410
175 1.0781414829364886 6.3974706383407121 27.748015218558386 185 80 50 0.0398149932560651 31 533 30 411
176 2.0028578305983205 6.4550870457228129 26.783038209442736 206 188 92 0.033856266371282299 31 532 30 413
177 -1.2660526689383056 6.4899459480346913 29.36394405045877 58 15 6 0.086318515716262562 31 407 30 414
178 -1.5947506502272288 6.5597341767059394 29.279410874925833 147 95 48 0.432682131841574 31 411 30 415
